job_title,job_about,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20
Associate Attorney,"Associate attorneys provide legal representation to clients and assist partners or other senior attorneys in the firm. They are responsible for researching legal issues, preparing legal documents, representing clients in court, and providing advice and counsel to clients.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,Case Management,Legal Writing,Advising Clients,Litigation,,,,,,,,,,,
Senior Associate Attorney,"A Senior Associate Attorney is responsible for providing legal advice, researching legal issues, drafting legal documents, and representing clients in court. They may also be responsible for supervising and mentoring junior attorneys.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,Case Management,Legal Writing,Advising Clients,Litigation,supervising associates and staff,,,,,,,,,,
General Counsel,"The General Counsel is responsible for providing legal advice and counsel to the organization, ensuring compliance with applicable laws and regulations, developing and implementing legal policies, and representing the organization in court.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,Case Management,Legal Writing,Advising Clients,Litigation,supervising associates and staff,strategic planning,risk management,,,,,,,,
Team Lead,"A Team Lead is responsible for managing the performance and activities of a team, providing guidance, support, and training to team members, and ensuring the team meets its goals and objectives.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Management,,,,,,,,,
Engineering Manager,"An Engineering Manager is responsible for leading and managing a team of engineers, overseeing engineering projects, and ensuring projects are completed on time and within budget.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Management,,,,,,,,,
Engineering Director,"An Engineering Director is responsible for leading a team of engineers, developing and implementing engineering strategies, managing resources, and ensuring engineering projects are completed on time and within budget.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,,,,,,,,,
VP of Engineering,"The Vice President of Engineering is responsible for leading the engineering team and setting the vision and strategy for engineering. The Vice President of Engineering is responsible for setting and managing the engineering budget and ensuring that engineering goals are met. The Vice President of Engineering is also responsible for developing and maintaining relationships with external stakeholders, such as vendors and partners.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,Quality Assurance,Mentoring,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Junior Analyst,A Junior Analyst is responsible for gathering and analyzing data to provide insights on various business topics. They may also help develop reports and presentations to support decision-making.,Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Analyst,"An Analyst is responsible for conducting research and analysis on different business topics, trends, and operations. They are also responsible for developing reports, presentations, and other documents to support decision-making.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Senior Analyst,"A Senior Analyst is responsible for leading research and analysis projects to provide insights on various business topics. They may also be responsible for designing and developing reports, presentations, and other documents to support decision-making.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Associate,"An Associate is responsible for providing support to the team in the areas of research, analysis, and reporting. They may also be responsible for helping to develop reports and presentations to support decision-making.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Senior Associate,"A Senior Associate is responsible for leading research, analysis, and reporting projects. They may also be responsible for developing reports and presentations to support decision-making. They are also responsible for providing guidance and mentorship to other team members.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,,Excel,,,,,,,,,,
Manager,"A manager is responsible for overseeing the daily operations of a business, department, or team. They plan, direct, and coordinate activities to ensure the efficient and effective use of resources.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
Senior Manager,"A senior manager is responsible for providing guidance and direction to managers and employees. They are also responsible for developing strategies, setting goals, and evaluating performance.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
Director,"A director is responsible for leading a team or department. They are responsible for setting goals, providing guidance, and ensuring that the team or department is working efficiently and effectively.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
Senior Director,"A senior director is responsible for providing overall direction and leadership to a team or department. They are responsible for developing and implementing strategies, setting goals, and evaluating performance.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
Managing Director,"A managing director is responsible for overseeing the operations of a business or organization. They are responsible for setting goals and strategies, providing guidance and direction, and ensuring that the business or organization is running efficiently and effectively.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Marketing Assistant,"The Marketing Assistant is responsible for providing administrative support to the marketing team, including coordinating meetings, creating reports, and maintaining marketing databases.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,,,,,,,,,,,,
Marketing Coordinator,"The Marketing Coordinator is responsible for developing and executing marketing campaigns, managing promotional materials, and tracking results.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,,,,,,,,,,,,
Marketing Manager,"The Marketing Manager is responsible for overseeing the day-to-day operations of the marketing department, including managing the budget, implementing marketing strategies, and developing new campaigns.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,Project Management,Leadership,,,,,,,,,,
Director of Marketing,"The Director of Marketing is responsible for setting the overall marketing strategy for the organization, overseeing the marketing team, and ensuring that the marketing goals are met.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,Project Management,Leadership,,,,,,,,,,
Vice President of Marketing,"The Vice President of Marketing is responsible for leading the marketing team, setting the overall marketing strategy, and developing new initiatives to increase sales and brand awareness.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,Project Management,Leadership,,,,,,,,,,
Chief Marketing Officer,"The Chief Marketing Officer (CMO) is responsible for overseeing all aspects of marketing, branding, and communications within an organization. This includes setting the strategic direction of the marketing team, developing and executing marketing plans, overseeing the creative process, and ensuring that the organization meets its marketing goals.",Communication,Organization,Writing,Microsoft Office,Social Media,Project Management,Graphic Design,Advertising,Project Management,Leadership,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Financial Analyst,"A Financial Analyst is responsible for analyzing financial data and making recommendations to improve an organization's financial performance. They may use financial models to evaluate investments, create budgets, and provide forecasts of future financial performance.",Analytical thinking,problem solving,data analysis,communication,research,report writing,,,,Excel,,,,,,,,,,
Senior Financial Analyst,A Senior Financial Analyst is responsible for more complex financial analysis and providing leadership on financial projects. They may provide guidance and direction to other financial analysts and assist with decision-making.,Analytical thinking,problem solving,data analysis,communication,research,report writing,,,,Excel,,,,,,,,,,
Accounting Manager,"An Accounting Manager is responsible for managing the day-to-day accounting operations of an organization. They may direct the preparation of financial statements, develop and implement internal controls, and coordinate the audit process.",Analytical thinking,problem solving,data analysis,communication,research,report writing,,,,Excel,,,,,,,,,,
Financial Controller,"A Financial Controller is responsible for managing an organization's overall financial operations, including budgeting, financial reporting, taxation, and compliance with laws and regulations. They may also provide advice and direction to the finance team.",Analytical thinking,problem solving,data analysis,communication,research,report writing,,,,Excel,,,,,,,,,,
Finance Director,"A Finance Director is responsible for providing leadership and vision for the organization's financial strategy. They may be responsible for developing financial plans, overseeing financial operations, and providing guidance to other departments in the organization.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
Chief Financial Officer,"The Chief Financial Officer is responsible for overseeing the financial activities of a company, including budgeting, forecasting, financial analysis, financial planning and strategy, and financial reporting. They develop and implement financial strategies to help the company achieve its goals.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Project Management,Leadership,Strategic Planning,Excel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Investment Banking Analyst,"Investment Banking Analysts are responsible for assisting in the underwriting, execution, and distribution of securities. They analyze financial data, identify and evaluate potential investments, and provide advice to their clients.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Investment Manager,"Investment Managers are responsible for managing the investments of their clients. They research potential investments, make sound investment decisions, and monitor and adjust the investments as needed.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Portfolio Manager,"Portfolio Managers are responsible for managing a portfolio of investments and maximizing returns while minimizing risk. They analyze financial data, make decisions regarding asset allocation, and provide guidance and advice to their clients.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Director of Investment,"The Director of Investment is responsible for overseeing the investment activities of a company. They develop and implement investment strategies, monitor investments, and provide advice to the company. They also oversee the research and analysis of potential investments, and make recommendations accordingly.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
Chief Investment Officer,"The Chief Investment Officer is responsible for making investment decisions and managing the investment portfolio of a company. They must analyze and monitor the performance of investments, take into account the current market conditions, and develop strategies for long-term success.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Business Analyst,"Business Analysts are responsible for gathering and analyzing business data to identify patterns, trends, and opportunities for improvement. They create models to help the organization reach its desired goals and objectives, and they coordinate with various departments and stakeholders to ensure the business is running effectively and efficiently.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,,,,,,,,,,,,,
Project Manager,"Project Managers are responsible for managing the various aspects of a project, including setting timelines, assigning tasks, and monitoring progress. They must have strong organizational skills and be able to work with a variety of stakeholders to ensure the project is completed on time and within budget.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
Operations Director,"Operations Directors are responsible for overseeing the day-to-day operations of the organization. They must ensure that the organization is meeting its goals and objectives, and that it is operating efficiently and effectively. They must also develop strategies to improve operations and lead the team in achieving them.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
Senior Operations Manager,"The Senior Operations Manager is responsible for overseeing the operations of the organization. This includes managing operations staff, budgeting, and making sure that operations are running smoothly. ",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
Vice President of Operations,"The Vice President of Operations is responsible for developing strategies and overseeing the day-to-day operations of the organization. This includes managing staff, budgeting, and ensuring that operations are running efficiently and effectively. ",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
Chief Operating Officer,"The Chief Operating Officer is responsible for leading the overall operations of the organization. This includes developing and implementing strategies, managing staff, budgeting, and ensuring the organization is running efficiently and effectively.",Analytical thinking,problem solving,data analysis,communication,research,report writing,Excel,Project Management,Leadership,Strategic Planning,,,,,,,,,,
